Date,HomeTeam,AwayTeam,Result,Home_Odds,Draw_Odds,Away_Odds,Imp_Prob_Home,Imp_Prob_Draw,Imp_Prob_Away,Total_Imp_Prob,Norm_Prob_Home,Norm_Prob_Draw,Norm_Prob_Away,Result_Code,Home_Points,Away_Points,Recent_Form_Home,Recent_Form_Away,Total_Team_Form
2023-08-11,Burnley,Man City,A,8.0,5.5,1.33,0.125,0.18181818181818182,0.7518796992481203,1.0586978810663021,0.11806956662093454,0.17173755144863206,0.7101928819304333,2,-1,1,0.0,0.0,0.0
2023-08-12,Arsenal,Nott'm Forest,H,1.18,7.0,15.0,0.8474576271186441,0.14285714285714285,0.06666666666666667,1.0569814366424537,0.8017715332926084,0.13515577275503968,0.06307269395235185,0,1,-1,0.0,0.0,0.0
2023-08-12,Bournemouth,West Ham,D,2.7,3.4,2.55,0.37037037037037035,0.29411764705882354,0.3921568627450981,1.056644880174292,0.35051546391752575,0.27835051546391754,0.3711340206185567,1,0,0,0.0,0.0,0.0
2023-08-12,Brighton,Luton,H,1.33,5.5,9.0,0.7518796992481203,0.18181818181818182,0.1111111111111111,1.0448089921774133,0.7196336410554626,0.17402049865523006,0.10634586028930725,0,1,-1,0.0,0.0,0.0
2023-08-12,Everton,Fulham,A,2.2,3.4,3.3,0.45454545454545453,0.29411764705882354,0.30303030303030304,1.0516934046345812,0.43220338983050843,0.2796610169491525,0.288135593220339,2,-1,1,0.0,0.0,0.0
2023-08-12,Sheffield United,Crystal Palace,A,3.0,3.3,2.38,0.3333333333333333,0.30303030303030304,0.42016806722689076,1.056531703590527,0.31549771029163654,0.28681610026512416,0.39768618944323936,2,-1,1,0.0,0.0,0.0
2023-08-12,Newcastle,Aston Villa,H,1.75,3.75,4.6,0.5714285714285714,0.26666666666666666,0.2173913043478261,1.0554865424430642,0.5413887799136916,0.2526480972930561,0.20596312279325227,0,1,-1,0.0,0.0,0.0
2023-08-13,Brentford,Tottenham,D,2.75,3.4,2.45,0.36363636363636365,0.29411764705882354,0.4081632653061224,1.0659172760013096,0.3411487662537115,0.2759291491757961,0.3829220845704924,1,0,0,0.0,0.0,0.0
2023-08-13,Chelsea,Liverpool,D,2.9,3.4,2.38,0.3448275862068966,0.29411764705882354,0.42016806722689076,1.059113300492611,0.3255813953488372,0.27770177838577287,0.39671682626538984,1,0,0,0.0,0.0,0.0
2023-08-14,Man United,Wolves,H,1.33,5.5,9.0,0.7518796992481203,0.18181818181818182,0.1111111111111111,1.0448089921774133,0.7196336410554626,0.17402049865523006,0.10634586028930725,0,1,-1,0.0,0.0,0.0
2023-08-18,Nott'm Forest,Sheffield United,H,1.95,3.4,4.0,0.5128205128205129,0.29411764705882354,0.25,1.0569381598793364,0.48519443453442745,0.27827327863003926,0.23653228683553335,0,1,-1,-1.0,-1.0,-2.0
2023-08-19,Fulham,Brentford,A,2.7,3.3,2.63,0.37037037037037035,0.30303030303030304,0.3802281368821293,1.0536288102828029,0.3515188335358444,0.28760631834750905,0.3608748481166464,2,-1,1,1.0,0.0,1.0
2023-08-19,Liverpool,Bournemouth,H,1.2,7.0,13.0,0.8333333333333334,0.14285714285714285,0.07692307692307693,1.0531135531135531,0.7913043478260869,0.13565217391304346,0.07304347826086957,0,1,-1,0.0,0.0,0.0
2023-08-19,Wolves,Brighton,A,4.0,3.8,1.85,0.25,0.2631578947368421,0.5405405405405405,1.0536984352773824,0.23725953425582186,0.249746878164023,0.5129935875801553,2,-1,1,-1.0,1.0,0.0
2023-08-19,Tottenham,Man United,H,2.8,3.6,2.38,0.35714285714285715,0.2777777777777778,0.42016806722689076,1.0550887021475257,0.33849557522123896,0.26327433628318586,0.39823008849557523,0,1,-1,0.0,1.0,1.0
2023-08-19,Man City,Newcastle,H,1.67,4.0,5.0,0.5988023952095809,0.25,0.2,1.0488023952095809,0.5709391949757351,0.2383671139023694,0.19069369112189552,0,1,-1,1.0,1.0,2.0
2023-08-20,Aston Villa,Everton,H,1.7,4.0,4.5,0.5882352941176471,0.25,0.2222222222222222,1.0604575163398693,0.5546995377503853,0.2357473035439137,0.20955315870570107,0,1,-1,-1.0,-1.0,-2.0
2023-08-20,West Ham,Chelsea,H,3.75,3.5,2.0,0.26666666666666666,0.2857142857142857,0.5,1.0523809523809524,0.25339366515837103,0.27149321266968324,0.4751131221719457,0,1,-1,0.0,0.0,0.0
2023-08-21,Crystal Palace,Arsenal,A,5.5,4.0,1.6,0.18181818181818182,0.25,0.625,1.0568181818181819,0.17204301075268816,0.23655913978494622,0.5913978494623655,2,-1,1,1.0,1.0,2.0
2023-08-25,Chelsea,Luton,H,1.29,5.5,11.0,0.7751937984496123,0.18181818181818182,0.09090909090909091,1.047921071176885,0.7397444519166108,0.17350369872225962,0.08675184936112981,0,1,-1,-0.5,-1.0,-1.5
2023-08-26,Bournemouth,Tottenham,A,3.8,3.75,1.91,0.2631578947368421,0.26666666666666666,0.5235602094240838,1.0533847708275925,0.24982124483353968,0.25315219476465356,0.49702656040180676,2,-1,1,-0.5,0.5,0.0
2023-08-26,Arsenal,Fulham,D,1.2,7.0,13.0,0.8333333333333334,0.14285714285714285,0.07692307692307693,1.0531135531135531,0.7913043478260869,0.13565217391304346,0.07304347826086957,1,0,0,1.0,0.0,1.0
2023-08-26,Brentford,Crystal Palace,D,2.15,3.4,3.5,0.46511627906976744,0.29411764705882354,0.2857142857142857,1.0449482118428768,0.44510940714419295,0.2814662427529456,0.27342435010286137,1,0,0,0.5,0.0,0.5
